 IAU NAME ALT NAME   RA(J2000.0)     DEC(J2000.0)  RA ERROR DEC ERROR  CCF  EPOCH   FIRST   LAST        #   DELAY RATE    PRI
                   HR MN    SEC     DG MN ARC SEC  TIME SEC ARC SEC          MJD     MJD     MJD       EXP   OBS   OBS

 0955+326 $        09 58 20.949647  32 24  2.20972 0.000015 0.00028   0.200 48319.0 47760.0 48879.0      5    87    87     1
 0954+658 $        09 58 47.245143  65 33 54.81844 0.000007 0.00004  -0.064 48593.8 46975.0 49366.0    147  5247  5247     1
 1004+141 $        10 07 41.498077  13 56 29.60200 0.000009 0.00018  -0.521 47905.2 47010.0 49063.0     13    86    86     2
 1011+250 $        10 13 53.428727  24 49 16.44169 0.000007 0.00023  -0.364 48832.3 48352.0 49032.0     10    18    18     2
 1012+232 $        10 14 47.065460  23 01 16.57139 0.000009 0.00015  -0.513 48222.6 47406.0 49252.0     11    82    82     1
 1020+400 $        10 23 11.565649  39 48 15.38591 0.000013 0.00019   0.051 48135.2 46976.0 49183.0      8   107   107     1
 1021-006 $        10 24 29.586542 -00 52 55.49755 0.000025 0.00065   0.563 48969.2 48663.0 49292.0      6    62    62     2
 1022+194 $        10 24 44.809592  19 12 20.41597 0.000014 0.00028  -0.678 48014.0 47782.0 48161.0      7    13    13     2
 1030+415 $        10 33  3.707839  41 16  6.23333 0.000023 0.00023   0.248 47744.1 47018.0 49175.0     10    76    76     1
 1032-199 $        10 35  2.155260 -20 11 34.35871 0.000038 0.00027  -0.035 48256.7 47175.0 48820.0      3    25    25     2
 1031+567 $        10 35  7.040168  56 28 46.79624 0.000253 0.00080   0.000 48280.8 47022.0 49327.0     13    75    75     5
 1034-293 $        10 37 16.079712 -29 34  2.81208 0.000003 0.00006  -0.093 48301.6 46439.0 49366.0    469  3421  3421     2
 1038+064 $        10 41 17.162503  06 10 16.92453 0.000007 0.00015  -0.577 48318.5 47567.0 49021.0     15   106   106     1
 1038+52A $        10 41 46.781673  52 33 28.23181 0.000008 0.00009   0.065 48906.6 48523.0 49327.0     27   247   247     1
 1038+52B $        10 41 48.897519  52 33 55.60932 0.000406 0.00201   0.000 48907.4 48579.0 49246.0      9    29    29     3
 1040+123 3C245    10 42 44.605210  12 03 31.26421 0.000011 0.00023  -0.468 48122.2 47658.0 49063.0     10    69    69     1
 1039+811 $        10 44 23.062671  80 54 39.44323 0.000031 0.00007  -0.013 48488.9 47287.0 49295.0     26   172   172     1
 1042+071 $        10 44 55.911254  06 55 38.26356 0.000015 0.00033  -0.704 47976.6 47776.0 48352.0      7    11    11     2
 1045-188 $        10 48  6.620407 -19 09 35.72731 0.000063 0.00072   0.000 47175.0 47175.0 47175.0      1     6     6     3
 1044+719 $        10 48 27.619915  71 43 35.93888 0.000014 0.00007  -0.060 48935.2 47604.0 49366.0     19   548   548     1
 1049+215 $        10 51 48.789064  21 19 52.31393 0.000014 0.00026   0.238 48434.0 47930.0 49120.0      4    55    55     1
 1053+704 $        10 56 53.617604  70 11 45.91627 0.000029 0.00014  -0.117 49240.8 49124.0 49365.0      9    84    84     1
 1053+815 $        10 58 11.535468  81 14 32.67532 0.000041 0.00009   0.057 48832.1 47451.0 49366.0     35   425   425     1
 1055+018 $        10 58 29.605209  01 33 58.82445 0.000001 0.00006  -0.239 47834.8 44772.0 49252.0    265  3999  3999     1
